sampleID	N_leeches
VSF35-2-T	2
VSF29-2-B	5
VSF01-2-B	2
VSF10-2-B	7
VSF36-2-B	15
VSF45-2-B	32
VSF31-2-B	6
VSF40-2-T	1
VSF18-2-B	11
VSF38-2-T	1
VSF34-2-T	1
VSF40-2-B	9
VSF38-2-B	4
VSF37-2-T	2
VSF53-2-B	14
VSF34-2-B	7
VSF35-2-B	22
VSF39-2-B	15
VSF33-2-T	1
VSF03-2-B	5
VSF16-2-B	3
VSF12-2-B	1
VSF05-2-B	1
VSF15-2-B	1
VSF13-2-B	3
VSF09-2-B	10
VSF14-2-B	2
VSF21-2-B	31
VSF23-2-B	45
VSF22-2-B	32
VSF24-2-B	35
VSF42-2-T	7
VSF44-2-T	3
VSF42-2-B	3
VSF49-2-B	18
VSF44-2-B	5
VSF47-2-B	7
VSF46-2-B	23
VSF63-2-B	11
VSF62-2-B	20
VSF64-2-B	20
VSF61-2-B	25
VSF50-2-B	11
VSF48-2-B	13
VSF16-2-T	1
LXS01-1-B	7
LXS02-1-B	20
LXS02-2-B	32
LXS04-1-B	11
LXS08-1-B	1
LXS08-1-T	1
LXS10-1-B	1
LXS10-1-T	2
LXS10-2-B	17
LXS11-1-B	7
LXS11-1-T	3
LXS11-2-B	20
LXS13-1-B	1
LXS13-1-T	3
LXS14-1-B	7
LXS14-1-T	2
LXS14-2-B	19
LXS14-2-T	6
LXS18-1-B	9
LXS19-1-T	3
LXS19-2-B	16
LXS20-1-B	20
LXS20-1-T	3
LXS21-2-T	8
LXS22-1-B	10
LXS22-2-B	40
LXS24-1-B	2
LXS24-1-T	8
LXS24-2-B	32
LXS24-2-T	21
LXS25-1-B	34
LXS25-1-T	3
LXS25-2-B	52
LXS26-1-B	83
LXS26-2-B	48
LXS30-1-B	36
LXS30-1-T	4
LXS30-2-B	20
LXS30-2-T	1
LXS31-1-B	6
LXS31-2-B	17
LXS32-1-B	12
LXS32-2-B	50
LXS33-1-B	33
LXS33-1-T	2
LXS34-1-B	28
LXS34-1-T	4
LXS34-2-B	10
LXS36-1-B	15
LXS37-2-B	
LXS38-1-B	3
LXS40-2-B	20
LXS41-2-B	7
LXS44-2-B	14
LXS45-2-B	19
LXS46-2-B	2
LXS48-1-B	7
LXS48-2-B	16
LXS49-1-B	7
LXS51-2-B	3
STC03-1-B	2
STC03-2-B	19
STC05-1-B	22
STC05-2-B	10
STC06-1-B	35
STC07-1-B	4
STC07-2-B	10
STC08-1-B	3
STC08-2-B	9
STC09-1-B	10
STC12-1-B	22
STC13-1-B	6
STC13-2-B	10
STC14-2-B	10
STC15-1-B	2
STC15-2-B	9
STC16-1-B	6
STC17-1-B	8
STC19-1-B	10
STC19-2-B	9
STC19-2-T	1
STC20-1-B	8
STC20-2-B	10
STC20-2-T	1
STC21-1-B	11
STC22-1-B	18
STC22-2-B	11
STC22-2-T	1
STC23-1-B	2
STC23-2-B	10
STC24-1-B	5
STC25-1-B	6
STC26-1-B	4
STC26-2-B	8
STC27-1-B	6
STC27-2-B	18
STC28-1-B	5
STC28-2-B	11
STC29-1-B	20
STC29-2-B	6
STC30-1-B	6
STC30-2-B	12
STC31-1-B	22
STC31-2-B	7
STC32-1-B	4
STC33-1-B	8
STC34-1-B	2
STC35-1-B	5
STC35-2-B	19
STC36-1-B	10
STC36-2-B	18
STC37-1-B	7
STC37-2-B	9
STC38-1-B	3
STC39-2-B	2
STC40-2-B	4
STC41-2-B	3
STC42-1-B	18
STC44-2-B	4
STC45-2-B	7
STC46-2-B	18
STC48-1-B	1
STC48-1-T	2
STC49-1-B	5
STC49-2-B	9
STC50-1-B	4
STC50-2-B	5
STC52-1-B	3
STC53-1-B	9
STC53-1-T	6
STC54-2-B	2
STC56-1-B	11
STC57-1-B	4
STC57-2-B	4
STC61-1-B	12
STC62-1-B	7
STC62-2-B	1
STC63-1-B	1
STC63-2-B	4
STC64-1-B	18
STC64-2-B	5
STC65-1-T	1
STC68-1-B	1
STC68-2-B	1
STC70-1-B	6
STC70-2-B	1
STC72-1-B	5
STC72-2-B	4
STC73-1-B	4
STC10-1-B	2
